Year	Year	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry
1973	1973	Wolfe, Gene	https://en.wikipedia.org//wiki/Gene_Wolfe	Nominated	"The Fifth Head of Cerberus"	https://en.wikipedia.org//wiki/The_Fifth_Head_of_Cerberus	Orbit #10 (Putnam Publishing Group)	https://en.wikipedia.org//wiki/Orbit_(anthology_series)#Orbit_10
1973	1973	Haldeman, Joe	https://en.wikipedia.org//wiki/Joe_Haldeman	Nominated	"Hero"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1973	1973	Pournelle, Jerry	https://en.wikipedia.org//wiki/Jerry_Pournelle	Nominated	"The Mercenary"		Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1974	1974	Tiptree, Jr., James	https://en.wikipedia.org//wiki/James_Tiptree,_Jr.	Won	"The Girl Who Was Plugged In"	https://en.wikipedia.org//wiki/The_Girl_Who_Was_Plugged_In	New Dimensions 3 (Doubleday)	https://en.wikipedia.org//wiki/Doubleday_(publisher)
1974	1974	Wolfe, Gene	https://en.wikipedia.org//wiki/Gene_Wolfe	Nominated	"The Death of Doctor Island"		Universe 3 (Bantam Spectra)	https://en.wikipedia.org//wiki/Bantam_Spectra
1974	1974	Bishop, Michael	https://en.wikipedia.org//wiki/Michael_Bishop_(author)	Nominated	"Death and Designation Among the Asadi"		If	https://en.wikipedia.org//wiki/If_(magazine)
1974	1974	Bishop, Michael	https://en.wikipedia.org//wiki/Michael_Bishop_(author)	Nominated	"The White Otters of Childhood"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1974	1974	Dozois, Gardner	https://en.wikipedia.org//wiki/Gardner_Dozois	Nominated	"Chains of the Sea"		Chains of the Sea (X-S Books)
1975	1975	Martin, George R. R.	https://en.wikipedia.org//wiki/George_R._R._Martin	Won	"A Song for Lya"	https://en.wikipedia.org//wiki/A_Song_for_Lya	Analog Science Fact & Fiction	https://en.wikipedia.org//wiki/Analog_Science_Fiction_and_Fact
1975	1975	Dozois, Gardner	https://en.wikipedia.org//wiki/Gardner_Dozois	Nominated	"Strangers"		New Dimensions 4 (Doubleday)	https://en.wikipedia.org//wiki/Doubleday_(publisher)
1975	1975	Silverberg, Robert	https://en.wikipedia.org//wiki/Robert_Silverberg	Nominated	"Born with the Dead"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1975	1975	Spinrad, Norman	https://en.wikipedia.org//wiki/Norman_Spinrad	Nominated	"Riding the Torch"		Threads of Time (Thomas Nelson)	https://en.wikipedia.org//wiki/Thomas_Nelson_(publisher)
1975	1975	Vance, Jack	https://en.wikipedia.org//wiki/Jack_Vance	Nominated	"Assault on a City"		Universe 4 (Bantam Spectra)	https://en.wikipedia.org//wiki/Bantam_Spectra
