Year	Year awarded	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry
1975	1975	Le Guin, Ursula K.	https://en.wikipedia.org/wiki/Ursula_K._Le_Guin	Nominated	"The Day Before the Revolution"	https://en.wikipedia.org/wiki/The_Day_Before_the_Revolution	Galaxy Science Fiction	https://en.wikipedia.org/wiki/Galaxy_Science_Fiction
1975	1975	Silverberg, Robert	https://en.wikipedia.org/wiki/Robert_Silverberg	Nominated	"Schwartz Between the Galaxies"		Stellar #1 (Ballantine Books)	https://en.wikipedia.org/wiki/Ballantine_Books
1976	1976	Leiber, Fritz	https://en.wikipedia.org/wiki/Fritz_Leiber	Won	"Catch That Zeppelin!"	https://en.wikipedia.org//w/index.php?title=Catch_That_Zeppelin!&action=edit&redlink=1	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1976	1976	Ellison, Harlan	https://en.wikipedia.org/wiki/Harlan_Ellison	Nominated	"Croatoan"	https://en.wikipedia.org/wiki/Croatoan_(Ellison)	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1976	1976	Plauger, P. J.	https://en.wikipedia.org/wiki/P._J._Plauger	Nominated	"Child of All Ages"		Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1976	1976	Lupoff, Richard A.	https://en.wikipedia.org/wiki/Richard_A._Lupoff	Nominated	"Sail the Tide of Mourning"	https://en.wikipedia.org/wiki/Space_War_Blues	New Dimensions #5 (Doubleday)	https://en.wikipedia.org/wiki/Doubleday_(publisher)
1976	1976	Bishop, Michael	https://en.wikipedia.org/wiki/Michael_Bishop_(author)	Nominated	"Rogue Tomato"		New Dimensions #5 (Doubleday)	https://en.wikipedia.org/wiki/Doubleday_(publisher)
1976	1976	Benford, Gregory	https://en.wikipedia.org/wiki/Gregory_Benford	Nominated	"Doing Lennon"		Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1977	1977	Haldeman, Joe	https://en.wikipedia.org/wiki/Joe_Haldeman	Won	"Tricentennial"	https://en.wikipedia.org//w/index.php?title=Tricentennial_(short_story)&action=edit&redlink=1	Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1977	1977	Grant, Charles L.	https://en.wikipedia.org/wiki/Charles_L._Grant	Nominated	"A Crowd of Shadows"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1977	1977	Knight, Damon	https://en.wikipedia.org/wiki/Damon_Knight	Nominated	"I See You"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1977	1977	White, James	https://en.wikipedia.org/wiki/James_White_(author)	Nominated	"Custom Fitting"		Stellar #2 (Ballantine Books)	https://en.wikipedia.org/wiki/Ballantine_Books
1978	1978	Ellison, Harlan	https://en.wikipedia.org/wiki/Harlan_Ellison	Won	"Jeffty Is Five"	https://en.wikipedia.org/wiki/Jeffty_Is_Five	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1978	1978	Varley, John	https://en.wikipedia.org/wiki/John_Varley_(author)	Nominated	"Air Raid"		Asimov's Science Fiction	https://en.wikipedia.org/wiki/Asimov%27s_Science_Fiction
1978	1978	Robinson, Spider	https://en.wikipedia.org/wiki/Spider_Robinson	Nominated	"Dog Day Evening"		Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1978	1978	Garrett, Randall	https://en.wikipedia.org/wiki/Randall_Garrett	Nominated	"Lauralyn"		Analog Science Fact & Fiction	https://en.wikipedia.org/wiki/Analog_Science_Fiction_and_Fact
1978	1978	Tiptree, Jr., James	https://en.wikipedia.org/wiki/James_Tiptree,_Jr.	Nominated	"Time-Sharing Angel"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1979	1979	Cherryh, C. J.	https://en.wikipedia.org/wiki/C._J._Cherryh	Won	"Cassandra"	https://en.wikipedia.org/wiki/Cassandra_(story)	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org/wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
