

Year	Year	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry
1969	1969	Anderson, Poul	https://en.wikipedia.org//wiki/Poul_Anderson	Won	"The Sharing of Flesh"	https://en.wikipedia.org//wiki/The_Sharing_of_Flesh	Galaxy Science Fiction	https://en.wikipedia.org//wiki/Galaxy_Science_Fiction
1969	1969	Aldiss, Brian	https://en.wikipedia.org//wiki/Brian_Aldiss	Nominated	"Total Environment"		Galaxy Science Fiction	https://en.wikipedia.org//wiki/Galaxy_Science_Fiction
1969	1969	Anthony, Piers	https://en.wikipedia.org//wiki/Piers_Anthony	Nominated	"Getting Through University"		If	https://en.wikipedia.org//wiki/If_(magazine)
1969	1969	Wilson, Richard	https://en.wikipedia.org//wiki/Richard_Wilson_(author)	Nominated	"Mother to the World"		Orbit #3	https://en.wikipedia.org//wiki/Orbit_(anthology_series)
1973	1973	Anderson, Poul	https://en.wikipedia.org//wiki/Poul_Anderson	Won	"Goat Song"	https://en.wikipedia.org//wiki/Goat_Song_(novelette)	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1973	1973	Rotsler, William	https://en.wikipedia.org//wiki/William_Rotsler	Nominated	"Patron of the Arts"		Universe #2	https://en.wikipedia.org//wiki/Bantam_Spectra
1973	1973	Ellison, Harlan	https://en.wikipedia.org//wiki/Harlan_Ellison	Nominated	"Basilisk"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1973	1973	Dozois, Gardner	https://en.wikipedia.org//wiki/Gardner_Dozois	Nominated	"A Kingdom by the Sea"		Orbit #10	https://en.wikipedia.org//wiki/Orbit_(anthology_series)
1973	1973	Tiptree, Jr., James	https://en.wikipedia.org//wiki/James_Tiptree,_Jr.	Nominated	"Painwise"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1974	1974	Ellison, Harlan	https://en.wikipedia.org//wiki/Harlan_Ellison	Won	"The Deathbird"	https://en.wikipedia.org//wiki/The_Deathbird	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
