Year awarded	Year	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry
1969	1969	Wilson, Richard	https://en.wikipedia.org//wiki/Richard_Wilson_(author)	Won	"Mother to the World"	https://en.wikipedia.org//w/index.php?title=Mother_to_the_World&action=edit&redlink=1	Orbit 3	https://en.wikipedia.org//wiki/Orbit_(anthology_series)#Orbit_3
1969	1969	Aldiss, Brian W.	https://en.wikipedia.org//wiki/Brian_Aldiss	Nominated	"Total Environment"		Galaxy Science Fiction	https://en.wikipedia.org//wiki/Galaxy_Science_Fiction
1969	1969	Anderson, Poul	https://en.wikipedia.org//wiki/Poul_Anderson	Nominated	The Sharing of Flesh	https://en.wikipedia.org//wiki/The_Sharing_of_Flesh	Galaxy Science Fiction	https://en.wikipedia.org//wiki/Galaxy_Science_Fiction
1969	1969	Gunn, James	https://en.wikipedia.org//wiki/James_Gunn_(author)	Nominated	The Listeners	https://en.wikipedia.org//wiki/The_Listeners_(novel)	Galaxy Science Fiction	https://en.wikipedia.org//wiki/Galaxy_Science_Fiction
1969	1969	Hollis, H. H.	https://en.wikipedia.org//wiki/H._H._Hollis	Nominated	The Guerrilla Trees		If	https://en.wikipedia.org//wiki/If_(magazine)
1969	1969	Laumer, Keith	https://en.wikipedia.org//wiki/Keith_Laumer	Nominated	"Once There Was a Giant"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1969	1969	Malzberg, Barry N.	https://en.wikipedia.org//wiki/Barry_N._Malzberg	Nominated	"Final War"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1970	1970	Delany, Samuel R.	https://en.wikipedia.org//wiki/Samuel_R._Delany	Won	"Time Considered as a Helix of Semi-Precious Stones"	https://en.wikipedia.org//wiki/Time_Considered_as_a_Helix_of_Semi-Precious_Stones	New Worlds	https://en.wikipedia.org//wiki/New_Worlds_(magazine)
1970	1970	Benford, Gregory	https://en.wikipedia.org//wiki/Gregory_Benford	Nominated	"Deeper than the Darkness"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1970	1970	Le Guin, Ursula K.	https://en.wikipedia.org//wiki/Ursula_K._Le_Guin	Nominated	"Nine Lives"	https://en.wikipedia.org//wiki/Nine_Lives_(novelette)	Playboy	https://en.wikipedia.org//wiki/Playboy
1970	1970	Spinrad, Norman	https://en.wikipedia.org//wiki/Norman_Spinrad	Nominated	The Big Flash		Orbit 5	https://en.wikipedia.org//wiki/Orbit_(anthology_series)#Orbit_5
1971	1971	Sturgeon, Theodore	https://en.wikipedia.org//wiki/Theodore_Sturgeon	Won	"Slow Sculpture"	https://en.wikipedia.org//wiki/Slow_Sculpture	Galaxy Science Fiction	https://en.wikipedia.org//wiki/Galaxy_Science_Fiction
1971	1971	Disch, Thomas M.	https://en.wikipedia.org//wiki/Thomas_M._Disch	Nominated	The Asian Shore		Orbit 6	https://en.wikipedia.org//wiki/Orbit_(anthology_series)#Orbit_6
1971	1971	Eklund, Gordon	https://en.wikipedia.org//wiki/Gordon_Eklund	Nominated	"Dear Aunt Annie"		Fantastic	https://en.wikipedia.org//wiki/Fantastic_(magazine)
1971	1971	Jonas, Gerald		Nominated	The Shaker Revival		Galaxy Science Fiction	https://en.wikipedia.org//wiki/Galaxy_Science_Fiction
1971	1971	Lafferty, R. A.	https://en.wikipedia.org//wiki/R._A._Lafferty	Nominated	"Continued on Next Rock"		Orbit 7	https://en.wikipedia.org//wiki/Orbit_(anthology_series)#Orbit_7
1971	1971	Russ, Joanna	https://en.wikipedia.org//wiki/Joanna_Russ	Nominated	The Second Inquisition		Orbit 6	https://en.wikipedia.org//wiki/Orbit_(anthology_series)#Orbit_6
1972	1972	Anderson, Poul	https://en.wikipedia.org//wiki/Poul_Anderson	Won	The Queen of Air and Darkness	https://en.wikipedia.org//wiki/The_Queen_of_Air_and_Darkness_(novella)	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1972	1972	Dozois, Gardner	https://en.wikipedia.org//wiki/Gardner_Dozois	Nominated	A Special Kind of Morning		New Dimensions 1	https://en.wikipedia.org//wiki/Doubleday_(publisher)
1972	1972	Pangborn, Edgar	https://en.wikipedia.org//wiki/Edgar_Pangborn	Nominated	"Mount Charity"		Universe 1	https://en.wikipedia.org//wiki/Universe_1
1972	1972	Russ, Joanna	https://en.wikipedia.org//wiki/Joanna_Russ	Nominated	"Poor Man, Beggar Man"		Universe 1	https://en.wikipedia.org//wiki/Universe_1
1972	1972	Wilhelm, Kate	https://en.wikipedia.org//wiki/Kate_Wilhelm	Nominated	The Encounter		Orbit 8	https://en.wikipedia.org//wiki/Orbit_(anthology_series)#Orbit_8
1973	1973	Anderson, Poul	https://en.wikipedia.org//wiki/Poul_Anderson	Won	"Goat Song"	https://en.wikipedia.org//wiki/Goat_Song_(novelette)	The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1973	1973	Bester, Alfred	https://en.wikipedia.org//wiki/Alfred_Bester	Nominated	The Animal Fair		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1973	1973	Dozois, Gardner	https://en.wikipedia.org//wiki/Gardner_Dozois	Nominated	A Kingdom by the Sea		Orbit 10	https://en.wikipedia.org//wiki/Orbit_(anthology_series)#Orbit_10
1973	1973	Ellison, Harlan	https://en.wikipedia.org//wiki/Harlan_Ellison	Nominated	"Basilisk"		The Magazine of Fantasy & Science Fiction	https://en.wikipedia.org//wiki/The_Magazine_of_Fantasy_%26_Science_Fiction
1973	1973	Gerrold, David	https://en.wikipedia.org//wiki/David_Gerrold	Nominated	"In the Deadlands"		With a Finger In My I (Ballantine Books)	https://en.wikipedia.org//wiki/Ballantine_Books
