Year	Year awarded	Author(s)	Author Wikipedia Entry	Won/Nominated	Work	Work Wikipedia Entry	Publisher or publication	Publisher or publication Wikipedia Entry
1971	1971	Niven, Larry	https://en.wikipedia.org/wiki/Larry_Niven	Won	Ringworld	https://en.wikipedia.org/wiki/Ringworld
1972	1972	Le Guin, Ursula K.	https://en.wikipedia.org/wiki/Ursula_K._Le_Guin	Won	The Lathe of Heaven	https://en.wikipedia.org/wiki/The_Lathe_of_Heaven
1973	1973	Asimov, Isaac	https://en.wikipedia.org/wiki/Isaac_Asimov	Won	The Gods Themselves	https://en.wikipedia.org/wiki/The_Gods_Themselves
1974	1974	Clarke, Arthur C.	https://en.wikipedia.org/wiki/Arthur_C._Clarke	Won	Rendezvous with Rama	https://en.wikipedia.org/wiki/Rendezvous_with_Rama
1975	1975	Le Guin, Ursula K.	https://en.wikipedia.org/wiki/Ursula_K._Le_Guin	Won	The Dispossessed	https://en.wikipedia.org/wiki/The_Dispossessed
1976	1976	Haldeman, Joe	https://en.wikipedia.org/wiki/Joe_Haldeman	Won	The Forever War	https://en.wikipedia.org/wiki/The_Forever_War
1977	1977	Wilhelm, Kate	https://en.wikipedia.org/wiki/Kate_Wilhelm	Won	Where Late the Sweet Birds Sang	https://en.wikipedia.org/wiki/Where_Late_the_Sweet_Birds_Sang
1978	1978	Pohl, Frederik	https://en.wikipedia.org/wiki/Frederik_Pohl	Won	Gateway	https://en.wikipedia.org/wiki/Gateway_(novel)
1979	1979	McIntyre, Vonda N.	https://en.wikipedia.org/wiki/Vonda_N._McIntyre	Won	Dreamsnake	https://en.wikipedia.org/wiki/Dreamsnake
